step,subject,exp_index,Tone,Context_type,Attention_status,T4_count,T4_percent,Tone_number,Attention_number,Type_number
step01,subject01,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step02,subject01,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step03,subject01,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step04,subject01,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step05,subject01,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step06,subject01,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step07,subject01,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step08,subject01,exp21,Tone1,Nonspeech,No-attention,3,0.428571429,1,-1,-1
step09,subject01,exp21,Tone1,Nonspeech,No-attention,2,0.285714286,1,-1,-1
step10,subject01,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step11,subject01,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step12,subject01,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step13,subject01,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step14,subject01,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step01,subject02,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step02,subject02,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step03,subject02,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step04,subject02,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step05,subject02,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step06,subject02,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step07,subject02,exp21,Tone1,Nonspeech,No-attention,6,0.857142857,1,-1,-1
step08,subject02,exp21,Tone1,Nonspeech,No-attention,3,0.428571429,1,-1,-1
step09,subject02,exp21,Tone1,Nonspeech,No-attention,1,0.142857143,1,-1,-1
step10,subject02,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step11,subject02,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step12,subject02,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step13,subject02,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step14,subject02,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step01,subject03,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step02,subject03,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step03,subject03,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step04,subject03,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step05,subject03,exp21,Tone1,Nonspeech,No-attention,5,0.714285714,1,-1,-1
step06,subject03,exp21,Tone1,Nonspeech,No-attention,3,0.428571429,1,-1,-1
step07,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step08,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step09,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step10,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step11,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step12,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step13,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step14,subject03,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step01,subject04,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step02,subject04,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step03,subject04,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step04,subject04,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step05,subject04,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step06,subject04,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step07,subject04,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step08,subject04,exp21,Tone1,Nonspeech,No-attention,5,0.714285714,1,-1,-1
step09,subject04,exp21,Tone1,Nonspeech,No-attention,1,0.142857143,1,-1,-1
step10,subject04,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step11,subject04,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step12,subject04,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step13,subject04,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step14,subject04,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step01,subject05,exp21,Tone1,Nonspeech,No-attention,6,0.857142857,1,-1,-1
step02,subject05,exp21,Tone1,Nonspeech,No-attention,6,0.857142857,1,-1,-1
step03,subject05,exp21,Tone1,Nonspeech,No-attention,6,0.857142857,1,-1,-1
step04,subject05,exp21,Tone1,Nonspeech,No-attention,6,0.857142857,1,-1,-1
step05,subject05,exp21,Tone1,Nonspeech,No-attention,6,0.857142857,1,-1,-1
step06,subject05,exp21,Tone1,Nonspeech,No-attention,6,0.857142857,1,-1,-1
step07,subject05,exp21,Tone1,Nonspeech,No-attention,5,0.714285714,1,-1,-1
step08,subject05,exp21,Tone1,Nonspeech,No-attention,3,0.428571429,1,-1,-1
step09,subject05,exp21,Tone1,Nonspeech,No-attention,2,0.285714286,1,-1,-1
step10,subject05,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step11,subject05,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step12,subject05,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step13,subject05,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step14,subject05,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step01,subject06,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step02,subject06,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step03,subject06,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step04,subject06,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step05,subject06,exp21,Tone1,Nonspeech,No-attention,7,1,1,-1,-1
step06,subject06,exp21,Tone1,Nonspeech,No-attention,4,0.571428571,1,-1,-1
step07,subject06,exp21,Tone1,Nonspeech,No-attention,4,0.571428571,1,-1,-1
step08,subject06,exp21,Tone1,Nonspeech,No-attention,2,0.285714286,1,-1,-1
step09,subject06,exp21,Tone1,Nonspeech,No-attention,1,0.142857143,1,-1,-1
step10,subject06,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step11,subject06,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
step12,subject06,exp21,Tone1,Nonspeech,No-attention,0,0,1,-1,-1
