"boundary","subject","Context","Speechness","stdize_b"
9.36178643844533,"X004","No context","Neutral",9.36178643844533
9.23052828619717,"X001","No context","Neutral",9.23052828619717
8.49999999999,"X031","No context","Neutral",8.49999999999
7.18678537673371,"X033","No context","Neutral",7.18678537673371
9.40446470460149,"X017","No context","Neutral",9.40446470460149
9.769471727257,"X032","No context","Neutral",9.769471727257
9.45760179690197,"X030","No context","Neutral",9.45760179690197
7.46676897538083,"X035","No context","Neutral",7.46676897538083
6.37335700959285,"X019","No context","Neutral",6.37335700959285
7.42977378444775,"X018","No context","Neutral",7.42977378444775
8.63162692608768,"X034","No context","Neutral",8.63162692608768
9.34086409780324,"X013","No context","Neutral",9.34086409780324
8.15681725426158,"X029","No context","Neutral",8.15681725426158
6.91974365817017,"X007","No context","Neutral",6.91974365817017
8.14538832074259,"X010","No context","Neutral",8.14538832074259
7.72874949391885,"X011","No context","Neutral",7.72874949391885
7.21559998381785,"X014","No context","Neutral",7.21559998381785
6.49999999998964,"X006","No context","Neutral",6.49999999998964
8.4997587900026,"X016","No context","Neutral",8.4997587900026
7.42338706891606,"X012","No context","Neutral",7.42338706891606
8.91736748056699,"X005","No context","Neutral",8.91736748056699
9.19210641057875,"X009","No context","Neutral",9.19210641057875
7.8830435321885,"X015","No context","Neutral",7.8830435321885
6.63162691229968,"X037","No context","Neutral",6.63162691229968
8.84739698011941,"X027","No context","Neutral",8.84739698011941
6.23953481290426,"X003","No context","Neutral",6.23953481290426
6.10205262486861,"X024","No context","Neutral",6.10205262486861
7.36178637708046,"X022","No context","Neutral",7.36178637708046
7.28643857741771,"X021","No context","Neutral",7.28643857741771
9.02772684744946,"X020","No context","Neutral",9.02772684744946
7.24196908954571,"X026","No context","Neutral",7.24196908954571
6.76947211950493,"X008","No context","Neutral",6.76947211950493
7.92907043093669,"X025","No context","Neutral",7.92907043093669
9.50000000003308,"X004","Tone 1","Nonspeech",9.50000000003308
9.14012303339214,"X017","Tone 1","Nonspeech",9.14012303339214
7.62720666467105,"X033","Tone 1","Nonspeech",7.62720666467105
9.84739943750243,"X030","Tone 1","Nonspeech",9.84739943750243
8.42977752936981,"X031","Tone 1","Nonspeech",8.42977752936981
9.27522945245748,"X001","Tone 1","Nonspeech",9.27522945245748
10.0451361834176,"X032","Tone 1","Nonspeech",10.0451361834176
7.79757254119781,"X035","Tone 1","Nonspeech",7.79757254119781
6.96757821094366,"X019","Tone 1","Nonspeech",6.96757821094366
7.63821362291954,"X018","Tone 1","Nonspeech",7.63821362291954
8.63821364554354,"X034","Tone 1","Nonspeech",8.63821364554354
9.50000000003308,"X013","Tone 1","Nonspeech",9.50000000003308
9.37108018180575,"X029","Tone 1","Nonspeech",9.37108018180575
