"","step","Context tone","Speechness","subject","T4_count"
"1","step01","No context","Speech","X004",7
"2","step02","No context","Speech","X004",7
"3","step03","No context","Speech","X004",7
"4","step04","No context","Speech","X004",7
"5","step05","No context","Speech","X004",7
"6","step06","No context","Speech","X004",7
"7","step07","No context","Speech","X004",7
"8","step08","No context","Speech","X004",7
"9","step09","No context","Speech","X004",5
"10","step10","No context","Speech","X004",1
"11","step11","No context","Speech","X004",0
"12","step12","No context","Speech","X004",0
"13","step13","No context","Speech","X004",0
"14","step14","No context","Speech","X004",0
"15","step01","No context","Speech","X001",7
"16","step02","No context","Speech","X001",7
"17","step03","No context","Speech","X001",7
"18","step04","No context","Speech","X001",7
"19","step05","No context","Speech","X001",7
"20","step06","No context","Speech","X001",7
"21","step07","No context","Speech","X001",7
"22","step08","No context","Speech","X001",7
"23","step09","No context","Speech","X001",4
"24","step10","No context","Speech","X001",1
"25","step11","No context","Speech","X001",0
"26","step12","No context","Speech","X001",0
"27","step13","No context","Speech","X001",0
"28","step14","No context","Speech","X001",0
"29","step01","No context","Speech","X031",7
"30","step02","No context","Speech","X031",7
"31","step03","No context","Speech","X031",7
"32","step04","No context","Speech","X031",7
"33","step05","No context","Speech","X031",7
"34","step06","No context","Speech","X031",7
"35","step07","No context","Speech","X031",7
"36","step08","No context","Speech","X031",6
"37","step09","No context","Speech","X031",1
"38","step10","No context","Speech","X031",0
"39","step11","No context","Speech","X031",0
"40","step12","No context","Speech","X031",0
"41","step13","No context","Speech","X031",0
"42","step14","No context","Speech","X031",0
"43","step01","No context","Speech","X033",7
"44","step02","No context","Speech","X033",7
"45","step03","No context","Speech","X033",7
"46","step04","No context","Speech","X033",7
"47","step05","No context","Speech","X033",7
"48","step06","No context","Speech","X033",5
"49","step07","No context","Speech","X033",5
"50","step08","No context","Speech","X033",2
"51","step09","No context","Speech","X033",0
"52","step10","No context","Speech","X033",0
"53","step11","No context","Speech","X033",0
"54","step12","No context","Speech","X033",0
"55","step13","No context","Speech","X033",0
"56","step14","No context","Speech","X033",0
"57","step01","No context","Speech","X017",7
"58","step02","No context","Speech","X017",7
"59","step03","No context","Speech","X017",7
"60","step04","No context","Speech","X017",7
"61","step05","No context","Speech","X017",7
"62","step06","No context","Speech","X017",6
"63","step07","No context","Speech","X017",7
"64","step08","No context","Speech","X017",6
"65","step09","No context","Speech","X017",5
"66","step10","No context","Speech","X017",4
"67","step11","No context","Speech","X017",0
"68","step12","No context","Speech","X017",0
"69","step13","No context","Speech","X017",0
"70","step14","No context","Speech","X017",0
"71","step01","No context","Speech","X032",7
"72","step02","No context","Speech","X032",7
"73","step03","No context","Speech","X032",7
"74","step04","No context","Speech","X032",7
"75","step05","No context","Speech","X032",7
"76","step06","No context","Speech","X032",7
"77","step07","No context","Speech","X032",7
"78","step08","No context","Speech","X032",7
"79","step09","No context","Speech","X032",6
"80","step10","No context","Speech","X032",3
"81","step11","No context","Speech","X032",0
"82","step12","No context","Speech","X032",0
