"","step","Context","Subject","T4_count","T4_percent"
"1",11,"zero","Group.1",1,0.142857142857143
"2",10,"zero","Group.1",2,0.285714285714286
"3",9,"zero","Group.1",3,0.428571428571429
"4",8,"zero","Group.1",4,0.571428571428571
"5",7,"zero","Group.1",5,0.714285714285714
"6",6,"zero","Group.1",6,0.857142857142857
"7",5,"zero","Group.1",7,1
"8",4,"zero","Group.1",8,1.14285714285714
"9",3,"zero","Group.1",9,1.28571428571429
"10",2,"zero","Group.1",10,1.42857142857143
"11",1,"zero","Group.1",11,1.57142857142857
"12",11,"zero","hui",0,0
"13",10,"zero","hui",0,0
"14",9,"zero","hui",5,0.714285714285714
"15",8,"zero","hui",7,1
"16",7,"zero","hui",7,1
"17",6,"zero","hui",7,1
"18",5,"zero","hui",7,1
"19",4,"zero","hui",7,1
"20",3,"zero","hui",7,1
"21",2,"zero","hui",7,1
"22",1,"zero","hui",7,1
"23",11,"zero","X3",0,0
"24",10,"zero","X3",0,0
"25",9,"zero","X3",2,0.285714285714286
"26",8,"zero","X3",3,0.428571428571429
"27",7,"zero","X3",6,0.857142857142857
"28",6,"zero","X3",7,1
"29",5,"zero","X3",7,1
"30",4,"zero","X3",7,1
"31",3,"zero","X3",7,1
"32",2,"zero","X3",7,1
"33",1,"zero","X3",7,1
"34",11,"zero","X2",0,0
"35",10,"zero","X2",0,0
"36",9,"zero","X2",0,0
"37",8,"zero","X2",1,0.142857142857143
"38",7,"zero","X2",2,0.285714285714286
"39",6,"zero","X2",7,1
"40",5,"zero","X2",7,1
"41",4,"zero","X2",7,1
"42",3,"zero","X2",5,0.714285714285714
"43",2,"zero","X2",7,1
"44",1,"zero","X2",7,1
"45",11,"zero","X5",2,0.285714285714286
"46",10,"zero","X5",0,0
"47",9,"zero","X5",4,0.571428571428571
"48",8,"zero","X5",6,0.857142857142857
"49",7,"zero","X5",7,1
"50",6,"zero","X5",7,1
"51",5,"zero","X5",7,1
"52",4,"zero","X5",7,1
"53",3,"zero","X5",7,1
"54",2,"zero","X5",7,1
"55",1,"zero","X5",7,1
"56",11,"zero","X4",0,0
"57",10,"zero","X4",2,0.285714285714286
"58",9,"zero","X4",3,0.428571428571429
"59",8,"zero","X4",5,0.714285714285714
"60",7,"zero","X4",7,1
"61",6,"zero","X4",7,1
"62",5,"zero","X4",7,1
"63",4,"zero","X4",7,1
"64",3,"zero","X4",7,1
"65",2,"zero","X4",7,1
"66",1,"zero","X4",7,1
"67",11,"zero","X6",0,0
"68",10,"zero","X6",0,0
"69",9,"zero","X6",1,0.142857142857143
"70",8,"zero","X6",4,0.571428571428571
"71",7,"zero","X6",7,1
"72",6,"zero","X6",7,1
"73",5,"zero","X6",7,1
"74",4,"zero","X6",7,1
"75",3,"zero","X6",7,1
"76",2,"zero","X6",7,1
"77",1,"zero","X6",7,1
"78",11,"zero","X1",0,0
"79",10,"zero","X1",0,0
"80",9,"zero","X1",0,0
"81",8,"zero","X1",4,0.571428571428571
"82",7,"zero","X1",7,1
"83",6,"zero","X1",7,1
"84",5,"zero","X1",7,1
"85",4,"zero","X1",7,1
"86",3,"zero","X1",7,1
"87",2,"zero","X1",7,1
"88",1,"zero","X1",7,1
"89",11,"zero","X10",0,0
"90",10,"zero","X10",0,0
"91",9,"zero","X10",0,0
"92",8,"zero","X10",0,0
"93",7,"zero","X10",1,0.142857142857143
"94",6,"zero","X10",5,0.714285714285714
"95",5,"zero","X10",7,1
"96",4,"zero","X10",6,0.857142857142857
"97",3,"zero","X10",7,1
"98",2,"zero","X10",7,1
"99",1,"zero","X10",7,1
"100",11,"zero","X7",1,0.142857142857143
"101",10,"zero","X7",2,0.285714285714286
"102",9,"zero","X7",5,0.714285714285714
"103",8,"zero","X7",7,1
"104",7,"zero","X7",7,1
"105",6,"zero","X7",7,1
"106",5,"zero","X7",7,1
"107",4,"zero","X7",7,1
"108",3,"zero","X7",7,1
"109",2,"zero","X7",7,1
"110",1,"zero","X7",7,1
"111",11,"zero","X8",0,0
"112",10,"zero","X8",0,0
"113",9,"zero","X8",0,0
"114",8,"zero","X8",2,0.285714285714286
"115",7,"zero","X8",7,1
"116",6,"zero","X8",7,1
"117",5,"zero","X8",7,1
"118",4,"zero","X8",7,1
"119",3,"zero","X8",7,1
"120",2,"zero","X8",7,1
"121",1,"zero","X8",7,1
"122",11,"zero","X15",0,0
"123",10,"zero","X15",1,0.142857142857143
"124",9,"zero","X15",1,0.142857142857143
"125",8,"zero","X15",5,0.714285714285714
"126",7,"zero","X15",7,1
"127",6,"zero","X15",7,1
"128",5,"zero","X15",7,1
"129",4,"zero","X15",7,1
"130",3,"zero","X15",7,1
"131",2,"zero","X15",7,1
"132",1,"zero","X15",7,1
"133",11,"zero","X21",0,0
"134",10,"zero","X21",0,0
"135",9,"zero","X21",1,0.142857142857143
"136",8,"zero","X21",5,0.714285714285714
"137",7,"zero","X21",6,0.857142857142857
"138",6,"zero","X21",7,1
"139",5,"zero","X21",7,1
"140",4,"zero","X21",7,1
"141",3,"zero","X21",7,1
"142",2,"zero","X21",7,1
"143",1,"zero","X21",7,1
"144",11,"zero","X24",0,0
"145",10,"zero","X24",0,0
"146",9,"zero","X24",1,0.142857142857143
"147",8,"zero","X24",2,0.285714285714286
"148",7,"zero","X24",7,1
"149",6,"zero","X24",7,1
"150",5,"zero","X24",7,1
"151",4,"zero","X24",7,1
"152",3,"zero","X24",7,1
"153",2,"zero","X24",7,1
"154",1,"zero","X24",7,1
"155",11,"zero","X27",0,0
"156",10,"zero","X27",1,0.142857142857143
"157",9,"zero","X27",2,0.285714285714286
"158",8,"zero","X27",5,0.714285714285714
"159",7,"zero","X27",7,1
"160",6,"zero","X27",7,1
"161",5,"zero","X27",7,1
"162",4,"zero","X27",7,1
"163",3,"zero","X27",7,1
"164",2,"zero","X27",7,1
"165",1,"zero","X27",7,1
"166",11,"zero","X9",0,0
"167",10,"zero","X9",1,0.142857142857143
"168",9,"zero","X9",3,0.428571428571429
"169",8,"zero","X9",7,1
